AGE,GENDER,CIVIL STATUS,NO DEPENDANTS,MOP,PORTFOLIO AT RISK,CYCLES,CURT/PDNP,BRANCH,YEARS BUS,HOME,YEARS HOME,CF TO LOAN,COLL TO LOAN,INDUSTRY,BUSINESS
43,FEMALE,MARRIED,3,WALK-IN,"13,020.72",2,PDNP,PASIG,10.0,RENTED,5.0,2.4,0.37,RETAIL,VEGETABLE RETAIL
50,FEMALE,MARRIED,2,WALK-IN,"2,858.27",3,PDNP,PASIG,19.0,RENTED,45.0,1.02,2.95,RETAIL,FISH RETAIL
27,FEMALE,MARRIED,5,PDC,"52,934.50",7,PDNP,PASIG,5.0,RENTED,26.0,1.22,0.5,RETAIL,MEAT SHOP
28,MALE,SINGLE,2,PDC,"67,882.20",6,PDNP,PASIG,7.0,OWNED,26.0,1.84,0.845,RETAIL,HOG ENTRAILS
48,FEMALE,SEPARATED,2,WALK-IN,"13,529.07",1,PDNP,PASIG,15.0,SHARED/BORROWED,45.0,1.65,1.0,RETAIL,GLASSWARE/PLASTIC WARE
62,FEMALE,WIDOW,1,WALK-IN,"83,624.71",10,PDNP,PASIG,37.0,OWNED,58.0,2.77,2.625,RETAIL,PASALUBONG DELICACIES
27,FEMALE,SINGLE,2,WALK-IN,"13,733.14",1,PDNP,PASIG,5.0,OWNED,21.0,1.65,2.57,RETAIL,TOYS/FOOTWEAR/ BAG RETAIL
55,FEMALE,MARRIED,3,PDC,"116,423.55",7,PDNP,PASIG,28.0,OWNED,31.0,2.22,0.7140000000000001,RETAIL,MEAT SHOP
50,FEMALE,WIDOW,3,WALK-IN,"17,281.92",1,PDNP,PASIG,13.0,OWNED,20.0,1.38,1.848,RETAIL,VEGETABLE RETAIL
53,MALE,MARRIED,4,PDC,"25,472.02",10,PDNP,PASIG,23.0,OWNED,23.0,1.83,0.667,WHOLESALER,SOFTDRINKS DEALER
48,FEMALE,MARRIED,1,WALK-IN,"3,819.55",6,PDNP,PASIG,12.0,RENTED,10.0,1.01,0.847,RETAIL,MEAT SHOP
40,FEMALE,MARRIED,3,WALK-IN,"6,280.87",3,PDNP,PASIG,7.0,RENTED,10.0,2.98,1.579,WHOLESALER,VEGETABLE
42,MALE,MARRIED,4,PDC,"15,696.38",2,PDNP,PASIG,8.0,OWNED,8.0,1.04,3.333,RETAIL,TIRE SUPPLY
45,FEMALE,SINGLE,3,WALK-IN,"30,169.56",1,PDNP,PASIG,3.0,OWNED,10.0,2.84,1.0,RETAIL,SCRAPER
56,MALE,MARRIED,2,WALK-IN,1.00,2,PDNP,PASIG,3.0,OWNED,8.0,1.62,5.04,RETAIL,SARI SARI STORE
42,FEMALE,SEPARATED,4,WALK-IN,"32,602.98",8,PDNP,PASIG,6.0,OWNED,26.0,1.36,3.333,RETAIL,TOYS/FOOTWEAR/ BAG RETAIL
