AGE,GENDER,CIVIL STATUS,NO DEPENDANTS,MOP,PORTFOLIO AT RISK,CYCLES,CURT/PDNP,BRANCH,YEARS BUS,HOME,YEARS HOME,CF TO LOAN,COLL TO LOAN
44,MALE,MARRIED,3,PDC,0,2,CURT,Cavite,5.0,OWNED,18.0," 110,397.49 "," 200,000.00 "
35,FEMALE,SINGLE,3,WALK-IN," 45,287.56 ",1,PDNP,Cavite,5.0,OWNED,34.0," 180,501.21 "," 360,000.00 "
54,MALE,WIDOW,0,PDC,0,6,CURT,Cavite,8.0,RENTED,9.0," 147,606.47 ",                               -  
41,MALE,MARRIED,2,PDC,0,5,CURT,Cavite,7.0,OWNED,13.0," 441,285.03 ",                               -  
42,FEMALE,MARRIED,1,WALK-IN," 21,662.16 ",5,PDNP,Cavite,10.0,OWNED,13.0," 309,367.18 "," 281,666.67 "
37,FEMALE,SINGLE,1,PDC,0,1,CURT,Cavite,2.0,MORTGAGED,5.0," 65,062.26 "," 50,000.00 "
32,FEMALE,MARRIED,4,PDC,0,4,CURT,Cavite,7.0,OWNED,13.0," 182,415.79 "," 100,000.00 "
46,FEMALE,MARRIED,5,PDC,0,1,CURT,Cavite,5.0,OWNED,15.0," 294,851.01 "," 280,000.00 "
35,FEMALE,MARRIED,2,PDC,0,6,CURT,Cavite,14.0,OWNED,8.0," 651,997.51 ",                               -  
49,FEMALE,MARRIED,4,WALK-IN,0,2,CURT,Cavite,10.0,OWNED,27.0," 333,470.63 "," 180,000.00 "
56,FEMALE,MARRIED,0,PDC,0,11,CURT,Cavite,14.0,RENTED,14.0," 456,637.48 "," 85,000.00 "
35,MALE,SINGLE,0,WALK-IN,0,6,CURT,Cavite,5.0,MORTGAGED,11.0," 140,478.58 "," 200,000.00 "
43,FEMALE,SINGLE,3,PDC,0,6,CURT,Cavite,8.0,OWNED,16.0," 321,849.00 "," 296,000.00 "
44,FEMALE,SEPARATED,2,WALK-IN,0,2,CURT,Cavite,20.0,OWNED,10.0," 128,433.00 "," 95,833.00 "
38,FEMALE,MARRIED,3,PDC," 13,885.20 ",3,PDNP,Cavite,3.0,OWNED,0.0," 237,797.90 "," 204,000.00 "
31,MALE,MARRIED,2,WALK-IN," 19,519.98 ",2,PDNP,Cavite,4.0,OWNED,4.0," 99,176.67 ",                               -  
42,FEMALE,MARRIED,2,WALK-IN," 151,884.83 ",7,PDNP,Cavite,13.0,OWNED,12.0," 525,972.29 "," 135,000.00 "
56,FEMALE,SEPARATED,2,WALK-IN,0,8,CURT,Cavite,21.0,OWNED,28.0," 185,203.00 ",                               -  
55,FEMALE,SEPARATED,1,WALK-IN," 21,231.98 ",2,PDNP,Cavite,30.0,OWNED,55.0," 92,098.62 "," 24,000.00 "
43,MALE,MARRIED,3,WALK-IN,0,7,CURT,Cavite,12.0,OWNED,18.0," 168,738.03 "," 45,000.00 "
57,FEMALE,MARRIED,4,WALK-IN,0,9,CURT,Cavite,6.0,OWNED,17.0," 254,973.89 "," 280,000.00 "
44,FEMALE,MARRIED,1,WALK-IN," 80,628.98 ",2,PDNP,Cavite,6.0,OWNED,13.0," 189,933.00 "," 121,333.00 "
44,FEMALE,MARRIED,2,PDC," 31,728.96 ",3,PDNP,Past Due August 2016 to present-Inactive AO,5.0,OWNED,10.0,                               -  ,                               -  
40,FEMALE,SINGLE,0,PDC,0,5,CURT,Cavite,20.0,OWNED,5.0," 378,583.92 "," 100,000.00 "
47,FEMALE,MARRIED,3,PDC,0,2,CURT,Cavite,18.0,OWNED,6.0," 228,549.07 "," 180,000.00 "
47,MALE,MARRIED,3,WALK-IN,0,3,CURT,Cavite,20.0,RENTED,18.0," 141,983.17 "," 60,000.00 "
53,FEMALE,MARRIED,2,WALK-IN," 12,860.70 ",2,PDNP,Cavite,18.0,OWNED,53.0," 213,750.00 ",                               -  
32,FEMALE,MARRIED,2,WALK-IN,0,6,CURT,Cavite,9.0,OWNED,10.0," 157,402.36 ",                               -  
52,FEMALE,SINGLE,1,WALK-IN," 20,882.58 ",1,PDNP,Cavite,15.0,RENTED,11.0," 52,257.49 ",                               -  
